date_id,sold_date,sold_year,sold_month,sold_month_num,sold_month_name,is_festive_season,date_key
1,2021-11-03,2021,11,3,Mar,1,20211103
6,2022-09-12,2022,9,12,Dec,0,20220912
7,2022-02-01,2022,2,1,Jan,0,20220201
8,2023-11-08,2023,8,8,Aug,0,20231108
9,2021-12-05,2021,12,5,May,0,20211205
11,2025-05-10,2024,1,10,Oct,0,20250510
14,2025-11-08,2019,4,8,Aug,0,20251108
15,2023-02-11,2023,2,11,Nov,0,20230211
18,2021-01-11,2021,1,11,Nov,0,20210111
21,2019-05-07,2019,5,7,Jul,0,20190507
22,2021-10-12,2021,10,12,Dec,1,20211012
23,2021-01-10,2021,1,10,Oct,0,20210110
28,2020-07-01,2020,7,1,Jan,0,20200701
29,2022-11-11,2022,11,11,Nov,1,20221111
30,2024-08-04,2023,8,4,Apr,0,20240804
32,2019-04-09,2019,4,9,Sep,0,20190409
34,2021-08-02,2021,8,2,Feb,0,20210802
36,2021-12-06,2021,12,6,Jun,0,20211206
38,2020-05-05,2020,5,5,May,0,20200505
39,2024-09-07,2021,8,7,Jul,0,20240907
41,2023-12-04,2023,12,4,Apr,0,20231204
45,2023-01-05,2023,1,5,May,0,20230105
48,2022-02-09,2022,2,9,Sep,0,20220209
49,2024-07-06,2024,7,6,Jun,0,20240706
51,2025-02-02,2019,2,2,Feb,0,20250202
52,2020-04-07,2020,4,7,Jul,0,20200407
54,2023-01-01,2023,1,1,Jan,0,20230101
55,2024-01-08,2024,1,8,Aug,0,20240108
56,2020-08-06,2020,8,6,Jun,0,20200806
57,2022-05-02,2022,5,2,Feb,0,20220502
59,2023-07-09,2019,10,9,Sep,1,20230709
61,2021-12-02,2021,12,2,Feb,0,20211202
62,2024-08-06,2024,8,6,Jun,0,20240806
63,2020-09-05,2020,9,5,May,0,20200905
65,2019-07-06,2019,7,6,Jun,0,20190706
66,2019-05-07,2023,2,7,Jul,0,20190507
67,2022-01-09,2022,1,9,Sep,0,20220109
70,2022-11-01,2022,11,1,Jan,1,20221101
71,2019-03-04,2021,7,4,Apr,0,20190304
73,2019-09-03,2019,9,3,Mar,0,20190903
74,2024-01-09,2024,1,9,Sep,0,20240109
76,2023-07-05,2019,9,5,May,0,20230705
78,2019-09-12,2019,9,12,Dec,0,20190912
80,2019-10-04,2019,10,4,Apr,1,20191004
82,2019-02-09,2019,2,9,Sep,0,20190209
84,2023-09-02,2023,9,2,Feb,0,20230902
85,2022-08-07,2022,8,7,Jul,0,20220807
89,2022-05-06,2022,5,6,Jun,0,20220506
90,2019-06-06,2019,6,6,Jun,0,20190606
92,2024-05-03,2024,5,3,Mar,0,20240503
93,2021-09-01,2021,9,1,Jan,0,20210901
95,2022-01-02,2022,1,2,Feb,0,20220102
96,2024-01-01,2024,1,1,Jan,0,20240101
98,2024-04-09,2019,8,9,Sep,0,20240409
99,2023-06-04,2023,6,4,Apr,0,20230604
100,2022-05-09,2022,5,9,Sep,0,20220509
101,2023-02-06,2023,2,6,Jun,0,20230206
102,2022-05-03,2023,3,3,Mar,0,20220503
103,2025-02-03,2025,2,3,Mar,0,20250203
104,2021-08-03,2021,8,3,Mar,0,20210803
106,2019-12-03,2019,12,3,Mar,0,20191203
107,2024-02-01,2024,2,1,Jan,0,20240201
109,2023-10-11,2023,10,11,Nov,1,20231011
111,2020-02-09,2025,2,9,Sep,0,20200209
112,2020-10-12,2020,10,12,Dec,1,20201012
117,2021-04-08,2023,3,8,Aug,0,20210408
119,2023-02-05,2023,2,5,May,0,20230205
121,2020-04-08,2020,4,8,Aug,0,20200408
122,2022-05-04,2022,5,4,Apr,0,20220504
123,2025-09-04,2024,12,4,Apr,0,20250904
124,2023-08-09,2019,8,9,Sep,0,20230809
126,2023-04-02,2022,5,2,Feb,0,20230402
128,2022-08-08,2022,8,8,Aug,0,20220808
129,2021-01-01,2021,8,1,Jan,0,20210101
130,2022-04-08,2022,4,8,Aug,0,20220408
131,2020-04-02,2020,4,2,Feb,0,20200402
133,2021-04-02,2021,4,2,Feb,0,20210402
136,2022-07-08,2020,8,8,Aug,0,20220708
142,2019-11-11,2019,3,11,Nov,0,20191111
143,2025-02-01,2023,6,1,Jan,0,20250201
144,2020-08-03,2020,8,3,Mar,0,20200803
145,2020-03-09,2020,3,9,Sep,0,20200309
148,2023-01-03,2023,1,3,Mar,0,20230103
153,2019-06-11,2019,6,11,Nov,0,20190611
154,2022-05-01,2021,10,1,Jan,1,20220501
157,2024-03-05,2022,11,5,May,1,20240305
159,2022-01-02,2024,4,2,Feb,0,20220102
161,2024-06-06,2024,6,6,Jun,0,20240606
162,2022-06-02,2019,9,2,Feb,0,20220602
163,2020-12-04,2020,12,4,Apr,0,20201204
164,2019-11-11,2019,11,11,Nov,1,20191111
166,2020-03-05,2020,3,5,May,0,20200305
167,2021-10-11,2021,10,11,Nov,1,20211011
170,2020-04-09,2020,4,9,Sep,0,20200409
171,2021-07-05,2021,7,5,May,0,20210705
173,2023-11-11,2023,11,11,Nov,1,20231111
174,2020-06-03,2020,6,3,Mar,0,20200603
175,2024-03-10,2019,12,10,Oct,0,20240310
176,2019-01-10,2021,12,10,Oct,0,20190110
177,2022-04-10,2022,4,10,Oct,0,20220410
178,2025-02-01,2025,2,1,Jan,0,20250201
181,2020-12-10,2020,12,10,Oct,0,20201210
182,2022-08-02,2020,8,2,Feb,0,20220802
183,2020-08-10,2024,2,10,Oct,0,20200810
184,2020-10-10,2020,10,10,Oct,1,20201010
186,2019-10-11,2020,3,11,Nov,0,20191011
187,2023-01-01,2022,10,1,Jan,1,20230101
188,2020-08-02,2020,8,2,Feb,0,20200802
190,2022-05-07,2022,5,7,Jul,0,20220507
191,2021-05-06,2021,5,6,Jun,0,20210506
192,2021-11-04,2021,11,4,Apr,1,20211104
193,2025-05-08,2023,5,8,Aug,0,20250508
194,2021-08-08,2021,8,8,Aug,0,20210808
195,2024-04-04,2024,4,4,Apr,0,20240404
198,2025-05-06,2024,2,6,Jun,0,20250506
199,2022-02-04,2022,2,4,Apr,0,20220204
201,2020-02-03,2022,3,3,Mar,0,20200203
202,2022-01-12,2022,1,12,Dec,0,20220112
203,2019-01-02,2021,2,2,Feb,0,20190102
205,2020-08-05,2020,8,5,May,0,20200805
207,2023-08-09,2024,2,9,Sep,0,20230809
209,2020-10-01,2020,10,1,Jan,1,20201001
210,2024-12-12,2024,12,12,Dec,0,20241212
211,2020-04-12,2020,4,12,Dec,0,20200412
212,2022-08-09,2022,8,9,Sep,0,20220809
215,2024-06-12,2024,6,12,Dec,0,20240612
216,2022-08-12,2022,8,12,Dec,0,20220812
217,2021-07-06,2021,7,6,Jun,0,20210706
218,2023-07-01,2023,7,1,Jan,0,20230701
220,2021-10-07,2021,10,7,Jul,1,20211007
221,2021-02-12,2021,2,12,Dec,0,20210212
222,2021-05-11,2020,4,11,Nov,0,20210511
223,2022-06-04,2022,6,4,Apr,0,20220604
224,2024-03-09,2024,12,9,Sep,0,20240309
226,2022-07-11,2022,7,11,Nov,0,20220711
229,2019-08-10,2019,8,10,Oct,0,20190810
230,2020-09-10,2023,3,10,Oct,0,20200910
231,2022-09-06,2022,9,6,Jun,0,20220906
234,2022-08-06,2022,8,6,Jun,0,20220806
235,2021-09-09,2021,9,9,Sep,0,20210909
237,2021-08-09,2021,8,9,Sep,0,20210809
239,2024-02-04,2022,8,4,Apr,0,20240204
240,2019-10-03,2019,10,3,Mar,1,20191003
241,2023-12-09,2019,9,9,Sep,0,20231209
242,2024-06-01,2023,8,1,Jan,0,20240601
243,2023-05-08,2023,5,8,Aug,0,20230508
244,2022-03-08,2019,11,8,Aug,1,20220308
246,2021-10-01,2021,10,1,Jan,1,20211001
249,2022-09-04,2022,9,4,Apr,0,20220904
252,2020-09-07,2020,9,7,Jul,0,20200907
254,2024-03-04,2024,3,4,Apr,0,20240304
256,2021-09-06,2021,9,6,Jun,0,20210906
257,2022-07-07,2022,7,7,Jul,0,20220707
259,2021-03-07,2021,3,7,Jul,0,20210307
260,2024-10-05,2024,10,5,May,1,20241005
261,2021-02-07,2021,2,7,Jul,0,20210207
263,2024-04-06,2024,4,6,Jun,0,20240406
266,2021-01-02,2021,1,2,Feb,0,20210102
267,2021-03-10,2021,3,10,Oct,0,20210310
269,2023-11-08,2023,4,8,Aug,0,20231108
270,2021-05-02,2021,5,2,Feb,0,20210502
271,2024-07-01,2024,7,1,Jan,0,20240701
274,2023-05-01,2023,5,1,Jan,0,20230501
275,2019-05-12,2019,5,12,Dec,0,20190512
277,2021-02-09,2021,2,9,Sep,0,20210209
278,2020-05-11,2020,5,11,Nov,0,20200511
279,2022-06-05,2022,6,5,May,0,20220605
280,2024-08-07,2024,8,7,Jul,0,20240807
282,2020-07-10,2020,7,10,Oct,0,20200710
283,2022-11-06,2022,1,6,Jun,0,20221106
284,2023-03-04,2023,3,4,Apr,0,20230304
285,2019-03-06,2021,3,6,Jun,0,20190306
286,2025-01-06,2024,6,6,Jun,0,20250106
287,2020-02-03,2022,5,3,Mar,0,20200203
288,2020-01-02,2020,1,2,Feb,0,20200102
290,2023-10-04,2022,4,4,Apr,0,20231004
291,2024-05-07,2024,5,7,Jul,0,20240507
292,2019-11-09,2019,11,9,Sep,1,20191109
294,2019-11-12,2024,3,12,Dec,0,20191112
296,2019-03-11,2019,3,11,Nov,0,20190311
297,2021-10-06,2021,10,6,Jun,1,20211006
298,2023-06-05,2023,6,5,May,0,20230605
301,2023-11-12,2023,11,12,Dec,1,20231112
304,2023-03-01,2023,3,1,Jan,0,20230301
307,2023-07-08,2022,8,8,Aug,0,20230708
308,2019-04-11,2019,3,11,Nov,0,20190411
310,2019-08-05,2023,8,5,May,0,20190805
312,2025-01-08,2022,11,8,Aug,1,20250108
314,2021-04-11,2021,4,11,Nov,0,20210411
317,2023-02-11,2023,9,11,Nov,0,20230211
321,2025-10-04,2024,1,4,Apr,0,20251004
322,2025-03-09,2020,4,9,Sep,0,20250309
326,2023-08-08,2020,10,8,Aug,1,20230808
327,2021-03-08,2021,12,8,Aug,0,20210308
329,2023-03-12,2023,3,12,Dec,0,20230312
330,2020-02-09,2020,2,9,Sep,0,20200209
334,2024-05-04,2024,10,4,Apr,1,20240504
335,2020-11-08,2020,11,8,Aug,1,20201108
336,2021-11-01,2021,11,1,Jan,1,20211101
337,2024-01-12,2022,4,12,Dec,0,20240112
338,2022-10-01,2021,1,1,Jan,0,20221001
339,2020-06-01,2020,6,1,Jan,0,20200601
341,2019-11-04,2022,7,4,Apr,0,20191104
342,2020-12-10,2024,8,10,Oct,0,20201210
343,2019-10-11,2022,7,11,Nov,0,20191011
346,2019-01-05,2022,10,5,May,1,20190105
347,2024-12-06,2024,12,6,Jun,0,20241206
348,2019-01-11,2022,10,11,Nov,1,20190111
349,2020-03-07,2020,3,7,Jul,0,20200307
350,2019-08-02,2019,8,2,Feb,0,20190802
351,2022-12-03,2022,12,3,Mar,0,20221203
352,2021-08-04,2023,3,4,Apr,0,20210804
353,2023-07-04,2023,7,4,Apr,0,20230704
354,2025-06-09,2021,10,9,Sep,1,20250609
355,2022-02-11,2022,2,11,Nov,0,20220211
357,2023-12-12,2023,12,12,Dec,0,20231212
359,2024-09-11,2024,9,11,Nov,0,20240911
361,2022-02-04,2023,4,4,Apr,0,20220204
364,2025-02-07,2020,9,7,Jul,0,20250207
365,2019-09-07,2019,9,7,Jul,0,20190907
366,2021-07-01,2022,10,1,Jan,1,20210701
367,2020-07-05,2020,7,5,May,0,20200705
368,2024-10-07,2023,6,7,Jul,0,20241007
371,2022-02-10,2022,2,10,Oct,0,20220210
372,2024-12-12,2023,8,12,Dec,0,20241212
373,2020-01-07,2020,1,7,Jul,0,20200107
375,2023-10-05,2023,10,5,May,1,20231005
376,2022-03-04,2022,3,4,Apr,0,20220304
377,2024-11-07,2024,11,7,Jul,1,20241107
378,2023-08-03,2023,8,3,Mar,0,20230803
379,2022-10-11,2022,10,11,Nov,1,20221011
380,2022-07-12,2022,7,12,Dec,0,20220712
381,2020-02-02,2020,2,2,Feb,0,20200202
382,2021-11-07,2019,11,7,Jul,1,20211107
383,2020-07-05,2021,8,5,May,0,20200705
386,2024-03-07,2019,12,7,Jul,0,20240307
387,2023-07-11,2023,7,11,Nov,0,20230711
389,2022-07-03,2022,7,3,Mar,0,20220703
390,2024-10-10,2024,10,10,Oct,1,20241010
392,2025-07-02,2019,7,2,Feb,0,20250702
393,2025-01-12,2023,7,12,Dec,0,20250112
394,2021-06-09,2021,6,9,Sep,0,20210609
395,2020-03-11,2020,3,11,Nov,0,20200311
400,2020-08-11,2020,8,11,Nov,0,20200811
401,2023-03-05,2023,3,5,May,0,20230305
402,2025-02-11,2024,6,11,Nov,0,20250211
403,2024-01-06,2024,1,6,Jun,0,20240106
404,2021-02-10,2021,2,10,Oct,0,20210210
406,2024-07-01,2024,12,1,Jan,0,20240701
411,2020-04-10,2020,4,10,Oct,0,20200410
413,2022-02-06,2021,10,6,Jun,1,20220206
414,2020-06-11,2020,6,11,Nov,0,20200611
416,2020-03-10,2020,3,10,Oct,0,20200310
419,2021-03-06,2021,3,6,Jun,0,20210306
420,2023-02-07,2023,11,7,Jul,1,20230207
421,2024-09-05,2024,3,5,May,0,20240905
422,2025-02-05,2025,3,5,May,0,20250205
424,2021-05-05,2023,3,5,May,0,20210505
426,2022-05-01,2022,12,1,Jan,0,20220501
427,2022-03-05,2022,3,5,May,0,20220305
428,2024-04-08,2024,4,8,Aug,0,20240408
429,2021-03-12,2021,3,12,Dec,0,20210312
430,2024-08-09,2024,6,9,Sep,0,20240809
434,2024-04-10,2024,4,10,Oct,0,20240410
436,2022-04-03,2023,6,3,Mar,0,20220403
438,2021-12-01,2021,12,1,Jan,0,20211201
439,2025-09-03,2024,7,3,Mar,0,20250903
441,2021-06-05,2021,6,5,May,0,20210605
442,2021-07-06,2023,8,6,Jun,0,20210706
444,2023-03-10,2023,3,10,Oct,0,20230310
445,2021-12-03,2021,12,3,Mar,0,20211203
446,2020-07-02,2020,7,2,Feb,0,20200702
447,2023-10-12,2023,10,12,Dec,1,20231012
451,2019-03-01,2019,3,1,Jan,0,20190301
452,2021-05-09,2021,2,9,Sep,0,20210509
453,2019-08-11,2023,1,11,Nov,0,20190811
454,2019-08-08,2021,11,8,Aug,1,20190808
456,2019-08-04,2019,8,4,Apr,0,20190804
458,2025-03-04,2021,3,4,Apr,0,20250304
460,2022-09-02,2022,9,2,Feb,0,20220902
461,2021-04-05,2021,4,5,May,0,20210405
462,2022-11-07,2022,11,7,Jul,1,20221107
464,2023-06-07,2023,6,7,Jul,0,20230607
465,2021-11-02,2021,11,2,Feb,1,20211102
466,2022-12-10,2022,12,10,Oct,0,20221210
468,2021-09-04,2021,9,4,Apr,0,20210904
469,2020-12-10,2020,2,10,Oct,0,20201210
470,2019-05-03,2019,5,3,Mar,0,20190503
472,2023-05-12,2023,5,12,Dec,0,20230512
474,2024-08-01,2024,8,1,Jan,0,20240801
475,2024-03-03,2024,3,3,Mar,0,20240303
476,2020-05-03,2020,5,3,Mar,0,20200503
477,2023-09-06,2023,9,6,Jun,0,20230906
478,2023-04-07,2023,4,7,Jul,0,20230407
479,2020-11-10,2023,7,10,Oct,0,20201110
480,2020-06-10,2020,6,10,Oct,0,20200610
481,2024-05-07,2020,11,7,Jul,1,20240507
483,2020-06-09,2022,4,9,Sep,0,20200609
484,2023-12-01,2023,12,1,Jan,0,20231201
485,2021-10-08,2021,10,8,Aug,1,20211008
487,2024-07-06,2024,8,6,Jun,0,20240706
488,2021-04-07,2023,9,7,Jul,0,20210407
489,2024-01-02,2022,7,2,Feb,0,20240102
490,2025-03-11,2024,4,11,Nov,0,20250311
491,2023-01-12,2023,1,12,Dec,0,20230112
493,2025-12-11,2024,11,11,Nov,1,20251211
495,2025-01-02,2024,11,2,Feb,1,20250102
497,2021-01-12,2021,1,12,Dec,0,20210112
498,2020-02-06,2020,2,6,Jun,0,20200206
500,2024-08-06,2024,10,6,Jun,1,20240806
501,2019-09-08,2021,1,8,Aug,0,20190908
503,2022-05-12,2024,1,12,Dec,0,20220512
505,2023-10-12,2020,3,12,Dec,0,20231012
506,2019-05-10,2020,5,10,Oct,0,20190510
507,2023-04-05,2023,4,5,May,0,20230405
509,2020-12-07,2020,12,7,Jul,0,20201207
510,2020-11-04,2020,11,4,Apr,1,20201104
512,2023-11-10,2023,11,10,Oct,1,20231110
515,2024-07-02,2024,7,2,Feb,0,20240702
517,2020-02-02,2022,4,2,Feb,0,20200202
519,2022-06-11,2022,6,11,Nov,0,20220611
520,2020-04-04,2020,4,4,Apr,0,20200404
522,2020-04-03,2019,8,3,Mar,0,20200403
524,2019-06-09,2020,5,9,Sep,0,20190609
527,2020-02-03,2024,3,3,Mar,0,20200203
529,2024-11-12,2023,11,12,Dec,1,20241112
531,2019-11-06,2019,11,6,Jun,1,20191106
532,2019-08-08,2019,9,8,Aug,0,20190808
533,2020-01-11,2020,1,11,Nov,0,20200111
535,2019-08-11,2019,8,11,Nov,0,20190811
536,2023-06-04,2023,4,4,Apr,0,20230604
537,2022-10-01,2022,10,1,Jan,1,20221001
538,2019-02-02,2020,6,2,Feb,0,20190202
539,2020-07-09,2024,11,9,Sep,1,20200709
540,2020-03-11,2020,9,11,Nov,0,20200311
541,2023-11-10,2023,12,10,Oct,0,20231110
542,2022-09-01,2022,9,1,Jan,0,20220901
544,2021-02-06,2024,9,6,Jun,0,20210206
546,2025-04-02,2022,10,2,Feb,1,20250402
547,2024-10-02,2024,10,2,Feb,1,20241002
548,2019-07-04,2024,8,4,Apr,0,20190704
550,2024-11-04,2024,11,4,Apr,1,20241104
551,2024-04-04,2019,12,4,Apr,0,20240404
552,2024-07-10,2024,7,10,Oct,0,20240710
555,2024-11-09,2024,11,9,Sep,1,20241109
556,2023-03-09,2023,3,9,Sep,0,20230309
559,2019-02-05,2019,2,5,May,0,20190205
560,2021-06-11,2019,2,11,Nov,0,20210611
561,2019-08-10,2020,4,10,Oct,0,20190810
562,2020-05-07,2020,5,7,Jul,0,20200507
564,2022-11-12,2022,11,12,Dec,1,20221112
568,2020-11-07,2020,11,7,Jul,1,20201107
569,2021-02-04,2021,2,4,Apr,0,20210204
570,2021-12-07,2023,12,7,Jul,0,20211207
572,2021-01-09,2021,1,9,Sep,0,20210109
573,2023-05-06,2023,5,6,Jun,0,20230506
574,2020-06-02,2020,6,2,Feb,0,20200602
