vehicle_id,brand,model,fuel_type,transmission,car_condition,is_premium_brand,manufacturing_year,vehicle_age,kms_driven
1,Bmw,X3,Cng,Automatic,Poor,1,2015,11,162139
2,Hyundai,Verna,Electric,Manual,Fair,0,2019,7,57289
3,Honda,Amaze,Electric,Manual,Poor,0,2013,13,192873
4,Maruti,Baleno,Electric,Manual,Poor,0,2015,11,100035
5,Toyota,Innova,Petrol,Manual,Excellent,0,2023,3,120792
6,Bmw,X1,Electric,Automatic,Fair,1,2018,8,170678
7,Bmw,X1,Diesel,Automatic,Excellent,1,2024,2,19522
8,Maruti,Swift,Petrol,Manual,Excellent,0,2023,3,193314
9,Honda,Amaze,Petrol,Automatic,Poor,0,2014,12,59415
10,Hyundai,Verna,Cng,Automatic,Poor,0,2016,10,7922
11,Mahindra,Xuv500,Diesel,Automatic,Poor,0,2014,12,14854
12,Mahindra,Xuv500,Electric,Automatic,Excellent,0,2024,2,191527
13,Tata,Harrier,Electric,Manual,Excellent,0,2024,2,130068
14,Audi,A4,Cng,Manual,Fair,1,2018,8,93302
15,Honda,Amaze,Petrol,Manual,Good,0,2022,4,114238
16,Toyota,Innova,Electric,Automatic,Good,0,2020,6,86404
17,Tata,Nexon,Petrol,Automatic,Excellent,0,2023,3,10404
18,Tata,Nexon,Cng,Manual,Excellent,0,2024,2,31243
19,Bmw,X3,Electric,Automatic,Good,1,2020,6,192444
20,Audi,A4,Cng,Automatic,Poor,1,2013,13,144372
21,Maruti,Wagonr,Electric,Automatic,Good,0,2022,4,144725
22,Maruti,Baleno,Diesel,Automatic,Poor,0,2012,14,17519
23,Bmw,X1,Cng,Manual,Excellent,1,2024,2,54408
24,Honda,Amaze,Diesel,Manual,Good,0,2022,4,145234
25,Maruti,Wagonr,Cng,Manual,Good,0,2022,4,104416
26,Bmw,X1,Petrol,Manual,Poor,1,2016,10,52074
27,Hyundai,I20,Cng,Automatic,Good,0,2021,5,121352
28,Maruti,Wagonr,Cng,Automatic,Fair,0,2018,8,10342
29,Bmw,X1,Cng,Manual,Poor,1,2012,14,97731
30,Toyota,Innova,Diesel,Manual,Excellent,0,2023,3,181785
31,Maruti,Swift,Petrol,Manual,Poor,0,2015,11,174818
32,Tata,Nexon,Electric,Automatic,Poor,0,2016,10,53034
33,Toyota,Fortuner,Diesel,Manual,Fair,0,2018,8,39626
34,Audi,A4,Diesel,Automatic,Excellent,1,2023,3,31334
35,Honda,Amaze,Petrol,Manual,Poor,0,2014,12,175779
36,Toyota,Fortuner,Electric,Manual,Fair,0,2018,8,142461
37,Maruti,Swift,Diesel,Automatic,Fair,0,2018,8,21293
38,Maruti,Wagonr,Electric,Manual,Good,0,2020,6,82419
39,Tata,Nexon,Electric,Manual,Fair,0,2019,7,19615
40,Bmw,X1,Diesel,Automatic,Good,1,2020,6,45223
41,Hyundai,Verna,Electric,Automatic,Poor,0,2012,14,118785
42,Tata,Harrier,Petrol,Manual,Excellent,0,2023,3,95406
43,Hyundai,Creta,Petrol,Automatic,Poor,0,2016,10,167882
44,Hyundai,Verna,Diesel,Manual,Poor,0,2012,14,79002
45,Toyota,Innova,Petrol,Manual,Good,0,2021,5,78342
46,Honda,Amaze,Diesel,Manual,Poor,0,2015,11,115982
47,Hyundai,I20,Petrol,Automatic,Fair,0,2018,8,80204
48,Bmw,X1,Cng,Manual,Poor,1,2013,13,75511
49,Hyundai,Creta,Cng,Automatic,Fair,0,2019,7,107539
50,Tata,Nexon,Diesel,Automatic,Fair,0,2019,7,79246
51,Hyundai,I20,Petrol,Manual,Good,0,2020,6,119038
52,Bmw,X3,Cng,Manual,Poor,1,2013,13,26930
53,Tata,Harrier,Diesel,Automatic,Poor,0,2014,12,150482
54,Maruti,Baleno,Diesel,Manual,Good,0,2022,4,70564
55,Toyota,Innova,Diesel,Automatic,Excellent,0,2024,2,169642
56,Tata,Nexon,Petrol,Automatic,Poor,0,2012,14,163830
57,Tata,Harrier,Electric,Manual,Poor,0,2014,12,150114
58,Maruti,Swift,Electric,Automatic,Good,0,2022,4,29241
59,Bmw,X3,Petrol,Automatic,Poor,1,2013,13,58419
60,Toyota,Innova,Diesel,Manual,Good,0,2021,5,179094
61,Maruti,Wagonr,Diesel,Automatic,Good,0,2020,6,145258
62,Bmw,X1,Electric,Automatic,Fair,1,2017,9,12702
63,Maruti,Swift,Petrol,Manual,Fair,0,2019,7,23320
64,Maruti,Baleno,Diesel,Manual,Poor,0,2015,11,173618
65,Honda,Amaze,Cng,Manual,Poor,0,2014,12,37921
66,Toyota,Fortuner,Petrol,Automatic,Fair,0,2017,9,135616
67,Toyota,Fortuner,Electric,Automatic,Good,0,2022,4,74190
68,Tata,Harrier,Petrol,Manual,Poor,0,2012,14,150954
69,Tata,Harrier,Cng,Manual,Fair,0,2017,9,108132
70,Audi,Q3,Cng,Manual,Poor,1,2016,10,197896
71,Maruti,Wagonr,Electric,Automatic,Fair,0,2018,8,150421
72,Mahindra,Scorpio,Electric,Manual,Poor,0,2015,11,189559
73,Bmw,X1,Electric,Manual,Fair,1,2017,9,26160
74,Audi,Q3,Cng,Automatic,Good,1,2020,6,6813
75,Honda,Amaze,Electric,Automatic,Good,0,2021,5,103141
76,Tata,Harrier,Diesel,Manual,Good,0,2021,5,126631
77,Maruti,Baleno,Electric,Manual,Fair,0,2018,8,87409
78,Toyota,Innova,Petrol,Manual,Poor,0,2015,11,71543
79,Toyota,Innova,Cng,Automatic,Good,0,2020,6,6691
80,Tata,Nexon,Electric,Automatic,Good,0,2022,4,123452
81,Honda,Amaze,Petrol,Automatic,Fair,0,2017,9,176423
82,Hyundai,Creta,Cng,Automatic,Poor,0,2013,13,12403
83,Tata,Harrier,Petrol,Manual,Excellent,0,2023,3,74548
84,Hyundai,I20,Diesel,Manual,Good,0,2022,4,58005
85,Tata,Harrier,Cng,Automatic,Poor,0,2014,12,175672
86,Honda,City,Diesel,Manual,Good,0,2022,4,21200
87,Mahindra,Scorpio,Petrol,Manual,Poor,0,2015,11,87580
88,Maruti,Wagonr,Diesel,Manual,Good,0,2021,5,184785
89,Audi,Q3,Diesel,Automatic,Fair,1,2018,8,56534
90,Toyota,Innova,Electric,Manual,Good,0,2020,6,189408
91,Honda,City,Cng,Automatic,Poor,0,2015,11,27966
92,Audi,Q3,Electric,Automatic,Good,1,2021,5,17296
93,Honda,Amaze,Petrol,Automatic,Good,0,2022,4,85546
94,Toyota,Fortuner,Electric,Manual,Poor,0,2013,13,75757
95,Honda,City,Diesel,Manual,Good,0,2022,4,116706
96,Audi,Q3,Cng,Automatic,Good,1,2021,5,76010
97,Hyundai,I20,Diesel,Automatic,Poor,0,2013,13,173404
98,Maruti,Baleno,Cng,Automatic,Fair,0,2018,8,53702
99,Audi,Q3,Diesel,Automatic,Good,1,2021,5,126416
100,Hyundai,Verna,Electric,Manual,Excellent,0,2024,2,131471
101,Tata,Nexon,Diesel,Automatic,Good,0,2020,6,125396
102,Honda,Amaze,Petrol,Manual,Excellent,0,2024,2,139510
103,Bmw,X3,Petrol,Manual,Good,1,2022,4,137560
104,Mahindra,Xuv500,Diesel,Manual,Fair,0,2017,9,89890
105,Toyota,Innova,Cng,Manual,Good,0,2021,5,130068
106,Hyundai,I20,Cng,Manual,Fair,0,2018,8,53270
107,Mahindra,Scorpio,Cng,Automatic,Poor,0,2014,12,65828
108,Mahindra,Scorpio,Diesel,Automatic,Good,0,2021,5,163358
109,Tata,Harrier,Electric,Manual,Excellent,0,2023,3,104503
110,Bmw,X1,Diesel,Manual,Good,1,2022,4,62335
111,Bmw,X1,Petrol,Automatic,Poor,1,2014,12,175053
112,Bmw,X3,Cng,Automatic,Excellent,1,2024,2,40167
113,Audi,Q3,Petrol,Automatic,Fair,1,2019,7,101822
114,Audi,A4,Electric,Automatic,Excellent,1,2024,2,198515
115,Tata,Harrier,Electric,Manual,Good,0,2021,5,157028
116,Audi,Q3,Petrol,Manual,Poor,1,2013,13,128977
117,Toyota,Fortuner,Electric,Manual,Excellent,0,2023,3,40757
