vehicle_id,date_key,location_id,listed_price,sold_price,price_difference,expected_market_price,days_on_platform,conversion_rate,sale_flag
1,20211103,1,949951,889590,60361,474975,20,0.11,1
6,20220912,5,560789,523326,37463,364512,82,0.07,1
7,20220201,6,1086823,970701,116122,1032481,72,0.05,1
8,20231108,3,830991,671599,159392,747891,18,0.05,1
9,20211205,7,1538429,1407585,130844,692293,111,0.07,1
11,20250510,9,1764456,1659971,104485,794005,32,0.06,1
14,20251108,12,1029033,938494,90539,668871,88,0.05,1
15,20230211,13,1169876,1062857,107019,994394,87,0.05,1
18,20210111,2,1855328,1750878,104450,1762561,36,0.04,1
21,20190507,5,1354912,1188842,166070,1151675,77,0.06,1
22,20211012,9,1636086,1502043,134043,572630,74,0.06,1
23,20210110,13,691435,564384,127051,656863,37,0.07,1
28,20200701,18,1460965,1419330,41635,949627,4,0.09,1
29,20221111,19,887675,728690,158985,310686,111,0.05,1
30,20240804,20,277768,202068,75700,249991,56,0.07,1
32,20190409,21,2006188,1967169,39019,1103403,85,0.07,1
34,20210802,22,2030128,1869857,160271,1827115,118,0.07,1
36,20211206,9,504012,440673,63339,327607,44,0.05,1
38,20200505,23,1023090,927529,95561,767317,23,0.09,1
39,20240907,14,314159,221112,93047,219911,21,0.06,1
41,20231204,20,677998,505642,172356,237299,13,0.09,1
45,20230105,16,2103253,1974781,128472,1682602,79,0.02,1
48,20220209,9,2407826,2328164,79662,963130,111,0.06,1
49,20240706,3,738679,662459,76220,517075,30,0.1,1
51,20250202,25,806424,656239,150185,604818,46,0.05,1
52,20200407,21,220105,168961,51144,88041,102,0.05,1
54,20230101,23,2211256,2069106,142150,1879567,30,0.06,1
55,20240108,13,2394134,2235574,158560,2274427,94,0.07,1
56,20200806,22,1643009,1602949,40060,575053,58,0.05,1
57,20220502,22,1579525,1553175,26350,710786,7,0.06,1
59,20230709,19,1675307,1640019,35288,670122,36,0.03,1
61,20211202,11,1299990,1262657,37333,974992,55,0.04,1
62,20240806,5,2263431,2203539,59892,1358058,86,0.06,1
63,20200905,21,1689189,1541990,147199,1182432,85,0.06,1
65,20190706,26,2119488,2043856,75632,953769,101,0.02,1
66,20190507,24,771192,696682,74510,462715,92,0.06,1
67,20220109,23,944715,810382,134333,803007,64,0.05,1
70,20221101,22,2218886,2053778,165108,1220387,96,0.06,1
71,20190304,27,843189,720744,122445,548072,67,0.03,1
73,20190903,23,974055,958449,15606,584433,14,0.06,1
74,20240109,22,965436,794411,171025,724077,79,0.06,1
76,20230705,11,611569,484719,126850,489255,120,0.08,1
78,20190912,5,284830,194149,90681,142415,8,0.11,1
80,20191004,14,639062,595173,43889,543202,108,0.02,1
82,20190209,24,1981460,1883658,97802,792583,25,0.1,1
84,20230902,21,667476,577282,90194,567354,113,0.06,1
85,20220807,22,230353,140921,89432,103658,27,0.05,1
89,20220506,4,2071984,2012552,59432,1346789,69,0.03,1
90,20190606,29,359778,313972,45806,269833,28,0.1,1
92,20240503,15,1996644,1949538,47106,1597315,28,0.08,1
93,20210901,12,379138,211947,167191,322267,88,0.08,1
95,20220102,22,524705,370573,154132,445999,13,0.12,1
96,20240101,5,1264552,1128494,136058,1011641,19,0.07,1
98,20240409,5,1715196,1558334,156862,1114877,12,0.08,1
99,20230604,3,906111,816099,90012,724888,89,0.03,1
100,20220509,5,724969,600247,124722,688720,85,0.07,1
101,20230206,16,1376115,1371501,4614,1032086,4,0.12,1
102,20220503,25,962055,821258,140797,913952,27,0.15,1
103,20250203,27,1873303,1720157,153146,1592307,97,0.04,1
104,20190706,23,631206,453623,177583,378723,85,0.06,1
105,20210803,5,386195,305191,81004,308956,51,0.05,1
107,20191203,5,2316565,2296087,20478,1042454,54,0.06,1
108,20240201,8,1568009,1523231,44778,1254407,20,0.07,1
110,20231011,21,591532,475756,115776,502802,64,0.08,1
112,20200209,21,242458,159807,82651,230335,44,0.07,1
113,20201012,24,1838887,1661694,177193,1287220,6,0.08,1
118,20210408,9,421039,244396,176643,315779,32,0.04,1
120,20230205,3,653681,643610,10071,522944,54,0.06,1
122,20200408,21,770272,675560,94712,346622,44,0.07,1
123,20220504,5,2474511,2320980,153531,1484706,116,0.03,1
124,20250904,2,2345576,2228240,117336,1172788,30,0.09,1
125,20230809,14,714588,714361,227,678858,46,0.04,1
126,20230105,6,495942,410317,85625,396753,76,0.05,1
128,20230402,29,1239803,1087693,152110,1177812,117,0.07,1
130,20220808,27,1051946,934454,117492,578570,52,0.03,1
131,20210101,24,783478,685687,97791,705130,77,0.06,1
132,20220408,4,1291174,1245501,45673,774704,15,0.11,1
133,20200402,21,938688,836247,102441,375475,62,0.03,1
135,20210402,5,706313,585560,120753,282525,116,0.07,1
138,20220708,18,639337,546361,92976,447535,26,0.11,1
144,20191111,29,779441,685493,93948,272804,60,0.07,1
145,20250201,28,521728,401233,120495,286950,27,0.1,1
146,20200803,21,439886,280909,158977,417891,110,0.05,1
147,20200309,22,1769034,1750519,18515,972968,20,0.15,1
150,20230103,7,601334,537445,63889,451000,54,0.03,1
155,20190611,26,1300477,1131584,168893,1040381,73,0.07,1
156,20220501,27,805407,776485,28922,604055,94,0.07,1
159,20240305,29,1643463,1627565,15898,1479116,12,0.05,1
161,20220102,25,1093563,977166,116397,382747,114,0.03,1
163,20240606,5,1032966,924448,108518,671427,11,0.1,1
164,20220602,15,351357,312432,38925,245949,120,0.06,1
165,20201204,18,360053,291251,68802,198029,110,0.05,1
166,20191111,21,241933,207556,34377,157256,112,0.05,1
168,20200305,16,1440731,1395572,45159,1296657,36,0.05,1
169,20211011,11,387468,211947,175521,232480,14,0.13,1
172,20200409,3,2011872,1962470,49402,1207123,3,0.09,1
173,20210705,1,223666,182626,41040,212482,9,0.06,1
176,20231111,11,2168875,2108405,60470,2060431,73,0.04,1
177,20201204,13,777205,726263,50942,699484,108,0.02,1
178,20200603,12,2061511,1983688,77823,824604,80,0.03,1
179,20240310,3,933801,862710,71091,373520,78,0.04,1
180,20190110,13,808551,700565,107986,404275,76,0.05,1
181,20220410,30,1902066,1818996,83070,760826,20,0.07,1
182,20250201,27,1436778,1390257,46521,718389,66,0.08,1
185,20211206,10,919729,842991,76738,505850,116,0.03,1
186,20201210,4,641259,476682,164577,256503,52,0.05,1
187,20220802,17,2175491,2151336,24155,1631618,23,0.13,1
188,20200810,3,1321095,1235084,86011,462383,22,0.14,1
189,20201010,13,2443489,2415351,28138,2076965,33,0.06,1
191,20191011,19,464965,442012,22953,395220,11,0.1,1
192,20230101,24,1949879,1833822,116057,1462409,112,0.02,1
193,20200802,6,2484867,2327441,157426,2236380,29,0.13,1
195,20220507,26,1769566,1630041,139525,1415652,48,0.03,1
196,20210506,22,790097,610299,179798,355543,113,0.08,1
197,20211104,24,633582,459174,174408,411828,86,0.04,1
198,20250508,5,2345926,2253557,92369,1172963,113,0.06,1
199,20210808,14,411002,242289,168713,308251,115,0.04,1
200,20240404,29,679642,508525,171117,237874,38,0.02,1
203,20250506,26,1044488,865795,178693,626692,25,0.12,1
204,20220204,13,1129504,1111805,17699,903603,70,0.06,1
206,20200203,13,474298,399789,74509,403153,21,0.09,1
207,20220112,24,1469648,1458549,11099,1028753,26,0.08,1
208,20190102,27,755505,628111,127394,302201,13,0.15,1
210,20200805,20,1008318,937921,70397,352911,116,0.06,1
212,20230809,25,2378250,2209319,168931,1426950,43,0.03,1
215,20201001,28,1559520,1475224,84296,1481544,18,0.06,1
216,20241212,3,959301,906263,53038,671510,81,0.03,1
217,20200412,6,2117113,2012927,104186,1481979,8,0.08,1
218,20200905,28,2368251,2217645,150606,1302538,113,0.07,1
219,20220809,10,2438550,2361692,76858,1585057,49,0.08,1
222,20191111,8,1242781,1184483,58298,434973,78,0.07,1
223,20240612,5,2319221,2190927,128294,1391532,33,0.07,1
224,20220812,29,2454604,2314942,139662,1227302,88,0.04,1
225,20210706,10,2036637,1925978,110659,1832973,79,0.05,1
226,20230701,26,1995144,1954257,40887,798057,95,0.04,1
228,20211007,25,2381904,2252358,129546,1786428,40,0.03,1
229,20210212,22,1805290,1658516,146774,1624761,59,0.08,1
230,20210511,13,858238,830844,27394,386207,33,0.08,1
231,20220604,22,2347360,2312319,35041,938943,45,0.03,1
232,20240309,15,1261732,1259327,2405,504692,88,0.03,1
234,20220711,14,342818,290920,51898,325677,96,0.04,1
236,20210212,23,1684554,1530488,154066,1263415,77,0.06,1
238,20190810,3,328089,256201,71888,196853,92,0.03,1
239,20200910,29,2042947,1904765,138182,1940799,43,0.07,1
240,20220906,7,2091960,2054837,37123,1987362,93,0.04,1
243,20220806,26,1292473,1237868,54605,775483,95,0.03,1
244,20210909,17,711524,659036,52488,249033,58,0.06,1
246,20210809,17,1854794,1798568,56226,927397,75,0.02,1
248,20240204,15,1232870,1228165,4705,493147,53,0.04,1
249,20191003,16,524826,496548,28278,393619,38,0.03,1
250,20231209,14,408282,313070,95212,244969,108,0.05,1
251,20240601,18,1339399,1199736,139663,602729,38,0.07,1
252,20230508,26,898050,718629,179421,628635,108,0.07,1
253,20220308,2,2230415,2133154,97261,2007373,68,0.04,1
255,20211001,30,681413,528845,152568,442918,47,0.08,1
259,20220904,23,1500754,1364564,136190,750377,47,0.02,1
262,20200907,5,1823244,1661258,161986,638135,50,0.03,1
264,20240304,26,1102042,936029,166013,606123,81,0.03,1
266,20210906,19,1262880,1167258,95622,631440,25,0.1,1
267,20220707,28,1119026,986474,132552,1063074,87,0.04,1
269,20210809,19,577465,565934,11531,375352,96,0.04,1
270,20210307,3,1543436,1476690,66746,926061,100,0.03,1
271,20241005,6,1586788,1571103,15685,1348769,45,0.06,1
272,20210207,27,1759951,1733442,26509,967973,99,0.05,1
274,20240406,5,2229675,2069512,160163,1560772,88,0.05,1
277,20210102,15,1118773,1039926,78847,391570,28,0.07,1
278,20210310,21,2292827,2271389,21438,1375696,12,0.09,1
280,20231108,28,1015975,905498,110477,914377,88,0.07,1
282,20210502,30,2179333,2105987,73346,1634499,63,0.07,1
284,20240701,6,1267890,1171971,95919,443761,5,0.13,1
287,20230501,20,1812406,1723713,88693,815582,77,0.07,1
288,20190512,24,849756,700633,149123,467365,58,0.04,1
290,20210209,5,1095245,1092979,2266,438097,110,0.05,1
291,20200511,13,1191937,1073899,118038,715162,78,0.03,1
292,20220605,2,505777,440664,65113,303466,35,0.05,1
293,20240807,5,967424,805207,162217,822310,94,0.06,1
295,20200710,5,2054076,2016980,37096,1745964,107,0.03,1
296,20221106,27,2277127,2137442,139685,1821701,83,0.07,1
297,20230304,8,938308,860215,78093,703731,113,0.07,1
298,20190306,5,335013,286132,48881,217758,4,0.14,1
299,20250106,22,286787,230659,56128,243768,43,0.04,1
300,20200203,22,1741443,1596784,144659,1044865,12,0.12,1
301,20200102,3,2081875,2031542,50333,1457312,119,0.07,1
303,20231004,15,1217043,1056157,160886,669373,54,0.04,1
304,20240507,29,1054384,899837,154547,579911,104,0.05,1
305,20191109,5,718700,619019,99681,467154,48,0.04,1
307,20191112,3,912811,783025,129786,821529,110,0.04,1
309,20220109,3,1653644,1523144,130500,909504,82,0.03,1
310,20190311,22,1144319,1066931,77388,686591,24,0.14,1
311,20211006,11,750523,676834,73689,337735,49,0.06,1
312,20230605,18,1362092,1343048,19044,544836,51,0.04,1
315,20231112,26,2014142,1942214,71928,1913434,8,0.06,1
318,20210102,28,1506167,1426775,79392,753083,5,0.1,1
319,20230301,7,1602250,1585731,16519,1522137,43,0.04,1
322,20230708,27,1560774,1422205,138569,702348,94,0.03,1
323,20190411,23,2446835,2430557,16278,2324493,39,0.07,1
325,20190805,5,948829,804108,144721,426973,59,0.07,1
327,20250108,27,2067766,2053271,14495,1860989,104,0.02,1
332,20210411,23,1636549,1494422,142127,1227411,35,0.02,1
335,20230211,28,1344100,1310450,33650,739255,81,0.08,1
339,20251004,29,2250908,2218125,32783,1125454,8,0.11,1
340,20250309,2,1143946,1101290,42656,743564,103,0.03,1
344,20230808,12,2233386,2113063,120323,781685,94,0.04,1
345,20210308,25,1617976,1496484,121492,1537077,16,0.06,1
347,20230312,29,2360984,2338039,22945,1888787,32,0.03,1
348,20200209,27,669507,506381,163126,301278,60,0.05,1
352,20240504,1,1722292,1703320,18972,1550062,92,0.04,1
353,20201108,23,2384408,2330604,53804,2026746,87,0.05,1
354,20211101,5,2438007,2409820,28187,2316106,68,0.05,1
355,20240112,7,992778,853948,138830,645305,37,0.03,1
356,20221001,17,2169295,2124446,44849,976182,16,0.13,1
357,20200601,2,594298,501640,92658,416008,101,0.06,1
359,20191104,10,2394970,2365220,29750,957987,12,0.11,1
360,20201210,3,2412683,2362727,49956,1930146,46,0.05,1
361,20191011,28,622074,505651,116423,311037,19,0.08,1
364,20190105,27,675088,611932,63156,405052,79,0.06,1
365,20241206,16,2130119,2105094,25025,1491083,11,0.05,1
366,20190111,16,1364799,1317685,47114,545919,64,0.07,1
367,20200307,5,1702349,1651545,50804,766057,105,0.07,1
368,20190802,23,2361447,2272483,88964,1298795,21,0.14,1
369,20221203,23,710172,630098,80074,603646,19,0.14,1
370,20210804,14,1345625,1300502,45123,740093,62,0.05,1
371,20230704,29,2015744,1993857,21887,1108659,100,0.07,1
372,20250609,14,1469090,1450529,18561,661090,14,0.09,1
374,20220211,26,1508419,1439514,68905,1432998,88,0.08,1
376,20231212,3,731407,617791,113616,621695,56,0.02,1
378,20240911,4,315455,272041,43414,299682,48,0.04,1
380,20220204,22,428953,263471,165482,343162,68,0.07,1
383,20250207,3,349796,298711,51085,139918,35,0.03,1
385,20190907,27,619810,577585,42225,402876,21,0.08,1
386,20211103,22,2159290,2081560,77730,1619467,59,0.08,1
387,20210701,21,2353314,2282560,70754,941325,42,0.04,1
388,20200705,22,1363843,1226807,137036,545537,30,0.12,1
389,20241007,17,1319766,1314377,5389,461918,84,0.06,1
392,20220210,5,1736490,1712875,23615,1302367,57,0.07,1
393,20241212,7,572822,404664,168158,229128,120,0.08,1
394,20200107,3,1538768,1436801,101967,923260,23,0.06,1
396,20231005,24,2052095,1990911,61184,1949490,20,0.14,1
397,20220304,2,2050074,1987713,62361,820029,81,0.06,1
398,20241107,4,1281657,1220680,60977,704911,4,0.1,1
399,20220604,1,730951,724736,6215,511665,69,0.06,1
400,20230803,15,991056,988549,2507,842397,82,0.06,1
401,20221011,18,290785,205165,85620,247167,80,0.08,1
403,20220712,30,1410624,1261712,148912,564249,97,0.05,1
404,20211011,20,2233675,2166334,67341,1675256,50,0.07,1
405,20200202,25,264674,160205,104469,158804,21,0.14,1
406,20211107,24,899668,864370,35298,584784,60,0.06,1
407,20200705,14,2019830,1846074,173756,1009915,115,0.04,1
411,20240307,22,1207364,1101109,106255,845154,101,0.03,1
412,20230711,19,2428940,2251489,177451,850129,28,0.05,1
415,20220703,2,1213834,1173793,40041,424841,108,0.06,1
418,20241010,13,1638169,1525042,113127,573359,99,0.07,1
420,20250702,21,292355,134891,157464,175413,47,0.04,1
421,20250112,22,2027334,1922843,104491,1013667,48,0.02,1
422,20210609,3,1312836,1205952,106884,918985,86,0.06,1
423,20200402,15,560897,528618,32279,476762,19,0.15,1
424,20200311,14,1328262,1170966,157296,1062609,41,0.07,1
430,20200811,20,2329969,2225468,104501,815489,31,0.07,1
431,20230305,24,1361900,1338563,23337,953329,20,0.11,1
432,20250211,23,599730,545449,54281,329851,35,0.06,1
433,20240106,25,235200,58324,176876,199920,32,0.05,1
434,20210210,2,1138418,1070343,68075,398446,30,0.06,1
436,20240701,16,266165,210619,55546,133082,34,0.05,1
444,20200410,12,1472741,1416587,56154,736370,93,0.04,1
446,20201108,5,520232,374103,146129,494220,107,0.03,1
447,20220206,19,2002824,1984022,18802,1001412,113,0.04,1
449,20200611,16,1773354,1768873,4481,1596018,112,0.06,1
451,20200310,24,2023911,1984535,39376,1922715,23,0.06,1
455,20210306,9,1668841,1665005,3836,1335072,23,0.11,1
456,20230207,3,1279436,1195069,84367,831633,82,0.06,1
457,20240905,7,2359391,2285511,73880,1769543,57,0.02,1
458,20250205,5,1174007,1091203,82804,587003,95,0.04,1
460,20210505,24,294309,126232,168077,161869,80,0.07,1
462,20220501,22,2214856,2118586,96270,2104113,74,0.05,1
463,20220305,10,1504980,1368441,136539,1279233,12,0.08,1
465,20240408,17,631031,513567,117464,473273,88,0.05,1
466,20210312,3,514027,410557,103470,488325,109,0.05,1
467,20200409,21,584048,568661,15387,438036,4,0.06,1
468,20211007,27,1979939,1953330,26609,1880942,91,0.07,1
469,20240809,26,1422721,1300747,121974,640224,56,0.03,1
473,20240410,25,299193,127448,171745,104717,37,0.07,1
475,20220403,3,2433270,2352332,80938,1703289,120,0.03,1
477,20211201,28,2264581,2161683,102898,1019061,93,0.07,1
478,20250903,10,1389955,1341346,48609,1250959,42,0.03,1
480,20210605,4,907495,746099,161396,544497,41,0.04,1
481,20210706,20,1631686,1540148,91538,1550101,65,0.04,1
483,20200408,13,1663586,1650288,13298,1247689,51,0.05,1
484,20230310,12,1733805,1613889,119916,780212,37,0.05,1
485,20211203,26,527033,396012,131021,447978,38,0.03,1
487,20200702,5,1988795,1938153,50642,1392156,53,0.02,1
488,20231012,7,1930777,1820860,109917,1255005,83,0.08,1
492,20190301,21,1394559,1254885,139674,557823,5,0.1,1
493,20210509,29,913890,777155,136735,456945,29,0.1,1
494,20190802,5,1169259,1091547,77712,701555,14,0.11,1
495,20190811,23,429629,286747,142882,322221,105,0.02,1
496,20190808,29,551164,396164,155000,440931,118,0.05,1
497,20211007,5,260137,242224,17913,169089,33,0.04,1
499,20190804,11,808218,797660,10558,646574,30,0.05,1
501,20250304,22,645399,491158,154241,290429,18,0.06,1
505,20220902,16,1365405,1231085,134320,1024053,53,0.04,1
506,20210405,18,1246434,1067909,178525,623217,56,0.03,1
507,20221107,18,2043936,1994925,49011,1021968,101,0.05,1
509,20200307,27,1641742,1601040,40702,1395480,97,0.07,1
510,20230607,25,566039,452586,113453,311321,108,0.07,1
511,20211102,22,1642439,1615097,27342,574853,97,0.07,1
512,20200107,5,1812532,1667367,145165,1268772,17,0.08,1
513,20221210,21,915010,842303,72707,640507,78,0.06,1
515,20200107,1,782142,612863,169279,312856,44,0.03,1
516,20210904,25,1866641,1827686,38955,1679976,10,0.09,1
517,20201210,24,599567,430049,169518,389718,13,0.06,1
518,20190503,7,638120,556115,82005,319060,78,0.03,1
520,20230512,26,975572,944855,30717,439007,81,0.03,1
522,20240801,28,1122280,953068,169212,1010052,69,0.04,1
523,20240303,10,1748246,1601230,147016,786710,31,0.08,1
524,20210312,23,1686988,1645752,41236,1012192,87,0.04,1
525,20200503,29,217508,93230,124278,108754,92,0.04,1
526,20230906,9,810722,677716,133006,526969,43,0.02,1
527,20230407,21,243511,180407,63104,121755,82,0.06,1
528,20201110,13,755545,754181,1364,377772,97,0.07,1
529,20200610,3,2386430,2211102,175328,1312536,110,0.07,1
531,20240507,22,936713,839208,97505,608863,51,0.07,1
533,20200609,1,452015,319484,132531,271209,65,0.05,1
534,20231201,3,2345838,2260224,85614,1055627,43,0.06,1
535,20211008,13,1725630,1685131,40499,1639348,59,0.07,1
537,20200907,2,1240963,1170625,70338,806625,28,0.09,1
538,20240706,2,457500,309582,147918,205874,50,0.07,1
539,20210407,13,1798280,1650902,147378,1708366,73,0.04,1
540,20240102,22,1260024,1229213,30811,1134021,105,0.05,1
542,20250311,28,452448,334707,117741,271468,63,0.04,1
543,20230112,25,2059913,2025126,34787,1441939,114,0.08,1
545,20220808,18,1860622,1843966,16656,837279,118,0.05,1
546,20251211,13,1764154,1649686,114468,1234907,76,0.08,1
548,20250102,9,774848,610457,164391,697363,76,0.04,1
550,20210112,19,1414131,1280715,133416,1343424,97,0.08,1
551,20200206,5,353421,300883,52538,176710,70,0.05,1
553,20240806,3,2180388,2127474,52914,1526271,79,0.03,1
554,20190908,17,2497492,2353766,143726,1748244,110,0.03,1
556,20200702,1,644766,639821,4945,419097,55,0.07,1
558,20220512,26,766367,621992,144375,651411,3,0.07,1
560,20231012,27,2203424,2141667,61757,1101712,18,0.1,1
561,20190510,7,918061,853508,64553,734448,89,0.05,1
563,20230405,24,2144928,2053851,91077,1930435,80,0.08,1
565,20210802,13,2116878,1991470,125408,2011034,102,0.04,1
566,20201207,5,1092799,1029973,62826,710319,92,0.04,1
567,20201104,20,558206,423525,134681,307013,54,0.06,1
569,20231110,30,1735657,1657184,78473,781045,81,0.03,1
572,20210605,13,1602225,1550454,51771,881223,113,0.04,1
573,20211103,28,217550,58802,158748,184917,38,0.04,1
574,20240702,19,2154659,2059085,95574,1292795,73,0.07,1
576,20200202,27,1522581,1518760,3821,1141935,89,0.04,1
577,20200206,5,817814,714437,103377,613360,21,0.13,1
579,20220611,21,2069650,1963600,106050,1138307,41,0.08,1
580,20200404,18,838933,661274,177659,335573,90,0.07,1
582,20200403,27,1117196,1088713,28483,949616,112,0.02,1
584,20190609,25,2081114,1920747,160367,1352724,55,0.05,1
587,20200203,10,2196517,2034293,162224,2086691,16,0.07,1
589,20241112,16,1483638,1421693,61945,1261092,6,0.06,1
591,20191106,11,1204188,1041520,162668,602094,34,0.03,1
592,20190808,24,1793353,1742522,50831,1614017,104,0.03,1
593,20200111,4,298414,123551,174863,104444,22,0.11,1
596,20190811,26,1723336,1679714,43622,861668,120,0.04,1
597,20230604,9,250485,93948,156537,125242,41,0.03,1
598,20221001,17,581455,470498,110957,377945,70,0.03,1
600,20190202,9,1495916,1407719,88197,523570,98,0.04,1
601,20200709,6,2282941,2249833,33108,1598058,52,0.08,1
603,20200311,16,1942323,1885427,56896,1748090,107,0.05,1
604,20231110,21,1522250,1453640,68610,608899,78,0.05,1
605,20220901,26,1234923,1199813,35110,987938,32,0.02,1
607,20210206,7,913809,785194,128615,502594,105,0.03,1
609,20250402,10,634363,486349,148014,253745,47,0.08,1
610,20241002,3,1819976,1709887,110089,1182984,37,0.06,1
611,20190704,18,378930,282282,96648,227358,85,0.02,1
613,20241104,7,338410,280935,57475,270728,45,0.03,1
614,20240404,2,1410496,1398877,11619,1128396,62,0.04,1
615,20240710,13,445860,268905,176955,178343,36,0.04,1
618,20191003,29,1784423,1699672,84751,1516759,45,0.05,1
619,20241109,30,610907,560582,50325,458180,120,0.06,1
620,20230309,26,768605,688734,79871,614884,62,0.03,1
623,20190205,16,370533,237549,132984,129686,6,0.11,1
624,20210611,10,2371997,2349545,22452,2016197,49,0.07,1
625,20190810,17,1811772,1648347,163425,815297,83,0.06,1
626,20200507,7,1632700,1553540,79160,897985,19,0.07,1
628,20221112,26,1057267,890032,167235,634360,21,0.09,1
633,20201107,5,1240238,1179830,60408,744142,51,0.02,1
634,20210204,28,736090,614639,121451,441654,88,0.05,1
635,20211207,20,840992,671089,169903,672793,81,0.07,1
637,20210109,21,1762182,1620689,141493,1585963,37,0.03,1
638,20230506,30,874695,846445,28250,306143,45,0.06,1
639,20200602,13,1440103,1399976,40127,1008072,83,0.03,1
642,20221101,29,549707,435528,114179,384794,81,0.04,1
643,20230310,18,924826,808350,116476,416171,82,0.02,1
645,20240207,1,2494630,2416991,77639,1122583,80,0.07,1
646,20190210,19,2103265,1924591,178674,1998101,19,0.07,1
647,20211206,13,780124,634962,145162,624099,83,0.06,1
648,20190707,13,523464,506368,17096,183212,44,0.02,1
650,20251204,3,949384,915330,34054,569630,12,0.06,1
651,20200207,13,2452184,2448671,3513,1471310,35,0.06,1
652,20231206,13,2408094,2235527,172567,2167284,30,0.05,1
654,20210705,28,1129852,1128670,1182,621418,78,0.07,1
655,20190404,19,840020,677204,162816,378008,15,0.12,1
656,20210110,27,1196401,1137630,58771,1016940,64,0.05,1
657,20220309,26,1851154,1768390,82764,925577,6,0.05,1
658,20230601,14,1664443,1507184,157259,1165110,87,0.03,1
659,20220106,6,1224520,1065923,158597,1040842,54,0.04,1
661,20191004,13,509022,469964,39058,203608,102,0.04,1
665,20210902,19,259556,100269,159287,220622,95,0.05,1
668,20210601,21,1547450,1538398,9052,1392705,84,0.08,1
