transaction_id,car_id,brand,model,manufacturing_year,car_age,fuel_type,transmission,kms_driven,listed_price,sold_price,price_difference,seller_city,seller_state,listing_date,sold_date,days_on_platform,sold_month,sold_year,is_premium_brand,car_condition,seller_rating,customer_segment,expected_market_price,price_bucket,conversion_rate,is_festive_season,sold_month_name,sold_month_num,sale_flag
1,2418,Bmw,X3,2015,10,Cng,Automatic,162139,949951,889590,60361,Pune,Rajasthan,14-10-2021,11-03-2021,20,11,2021,1,Poor,3.3,Mid,474975,Medium,0.11,1,Mar,3,1
2,7127,Hyundai,Verna,2019,6,Electric,Manual,57289,1968483,1807733,160750,Mumbai,Punjab,06-06-2021,15-07-2021,104,9,2021,0,Fair,3.3,Premium,1377938,High,0.03,0,Jul,7,1
3,6183,Honda,Amaze,2013,12,Electric,Manual,192873,2417596,2240026,177570,Bangalore,Maharashtra,26-12-2019,13-08-2019,63,2,2020,0,Poor,3.9,Premium,967038,High,0.03,0,Aug,8,1
4,4245,Maruti,Baleno,2015,10,Electric,Manual,100035,2441058,2419873,21185,Bangalore,Maharashtra,07-03-2024,13-03-2021,69,5,2024,0,Poor,3.4,Premium,1220529,High,0.06,0,Mar,3,1
5,2798,Toyota,Innova,2023,2,Petrol,Manual,120792,945015,813106,131909,Chandigarh,Rajasthan,21-12-2020,22-03-2020,7,12,2020,0,Excellent,4.7,Mid,850513,Medium,0.1,0,Mar,3,1
6,1092,Bmw,X1,2018,7,Electric,Automatic,170678,560789,523326,37463,Mumbai,Maharashtra,22-06-2022,09-12-2022,82,9,2022,1,Fair,3.3,Mid,364512,Medium,0.07,0,Dec,12,1
7,7620,Bmw,X1,2024,1,Diesel,Automatic,19522,1086823,970701,116122,Jaipur,Punjab,21-11-2021,02-01-2022,72,2,2022,1,Excellent,4.1,Mid,1032481,Medium,0.05,0,Jan,1,1
8,2580,Maruti,Swift,2023,2,Petrol,Manual,193314,830991,671599,159392,Bangalore,Maharashtra,31-07-2023,11-08-2023,18,8,2023,0,Excellent,3.8,Mid,747891,Medium,0.05,0,Aug,8,1
9,5220,Honda,Amaze,2014,11,Petrol,Automatic,59415,1538429,1407585,130844,Mumbai,Rajasthan,16-08-2021,12-05-2021,111,12,2021,0,Poor,4.6,Premium,692293,High,0.07,0,May,5,1
10,7538,Hyundai,Verna,2016,9,Cng,Automatic,7922,399974,311518,88456,Chandigarh,Punjab,05-06-2021,23-07-2021,51,7,2021,0,Poor,3.5,Budget,219985,Low,0.02,0,Jul,7,1
